Full Complaint ID,Complaint Year Number,Month Number,Record Create Date,Complaint Precinct Code,Patrol Borough Name,County,Law Code Category Description,Offense Description,PD Code Description,Bias Motive Description,Offense Category,Arrest Date,Arrest Id
201900112120417,2019,1,01/22/2019,1,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,,
201900112125917,2019,1,01/24/2019,1,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,,
201900112154717,2019,2,02/06/2019,1,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,,
201900112165817,2019,2,02/11/2019,1,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,,
201900112220917,2019,3,03/07/2019,1,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,,
201900112262817,2019,3,03/24/2019,1,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry,,
201900112405017,2019,5,05/23/2019,1,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,,
201900112442817,2019,6,06/08/2019,1,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-MUSLIM,Religion/Religious Practice,06/08/2019,M31698085
201900112502817,2019,6,06/30/2019,1,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation,,
201900112618217,2019,8,08/14/2019,1,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-WHITE,Race/Color,,
201900112859817,2019,11,11/14/2019,1,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,,
201900112904517,2019,12,12/04/2019,1,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,,
201900512076217,2019,1,01/03/2019,5,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,,
201900512142017,2019,2,02/11/2019,5,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-MUSLIM,Religion/Religious Practice,02/11/2019,M31679002
201900512214617,2019,3,03/25/2019,5,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-HISPANIC,Ethnicity/National Origin/Ancestry,05/28/2019,M31696193
201900512257217,2019,4,04/18/2019,5,PATROL BORO MAN SOUTH,NEW YORK,FELONY,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,ANTI-JEWISH,Religion/Religious Practice,,
201900512411417,2019,7,07/18/2019,5,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,07/19/2019,M31704481
201900512417817,2019,7,07/22/2019,5,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-TRANSGENDER,Gender,,
201900612153717,2019,3,03/05/2019,6,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,,
201900612299917,2019,6,06/07/2019,6,PATROL BORO MAN SOUTH,NEW YORK,FELONY,ROBBERY,"ROBBERY,NECKCHAIN/JEWELRY",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,,
201900612311917,2019,6,06/13/2019,6,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,07/15/2019,M31703822
201900612424017,2019,8,08/09/2019,6,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-WHITE,Race/Color,08/23/2019,M31710089
